Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Ischaemia,30,30,1.000000,1.000000,1.000000,2.341926,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
S_AUC,Ischaemia,30,30,1.000000,1.000000,1.000000,0.122443,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
End_Datum_Area,Ischaemia,30,30,0.978889,0.932473,1.000000,0.057888,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
AUC,Ischaemia,30,30,0.967778,0.893502,1.000000,0.641009,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
AC_Component,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000630,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Amplitude,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000630,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
D_AUC,Ischaemia,30,30,0.966667,0.892857,1.000000,0.535676,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Max_Start_Datum_Diff,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000610,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
PI,Ischaemia,30,30,0.966667,0.892857,1.000000,0.026883,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Start_Datum_Area,Ischaemia,30,30,0.966667,0.892857,1.000000,0.188882,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Downslope_Length,Ischaemia,30,30,0.954444,0.900990,0.990004,1.328024,0.800000,0.966667,0.960000,0.828571,0.883333,0.872727,0.766667,24.000000,0.206897,24,29,1,6,False
SDPPG_e_a,Ischaemia,30,30,0.952222,0.899874,0.988910,0.694520,0.833333,0.933333,0.925926,0.848485,0.883333,0.877193,0.766667,12.500000,0.178571,25,28,2,5,False
SDPPG_d_a,Ischaemia,30,30,0.926667,0.852226,0.983259,-0.738286,0.766667,0.966667,0.958333,0.805556,0.866667,0.851852,0.733333,23.000000,0.241379,23,29,1,7,True
Downslope,Ischaemia,30,30,0.921111,0.831436,0.988861,-2.560150,0.866667,0.933333,0.928571,0.875000,0.900000,0.896552,0.800000,13.000000,0.142857,26,28,2,4,True
Diastolic_Width,Ischaemia,30,30,0.894444,0.806281,0.967637,0.555000,0.766667,1.000000,1.000000,0.810811,0.883333,0.867925,0.766667,,0.233333,23,30,0,7,False
Fall_Time,Ischaemia,30,30,0.893889,0.806106,0.967594,0.792500,0.766667,1.000000,1.000000,0.810811,0.883333,0.867925,0.766667,,0.233333,23,30,0,7,False
SDPPG_c_a,Ischaemia,30,30,0.888889,0.791972,0.964587,0.637047,0.766667,0.933333,0.920000,0.800000,0.850000,0.836364,0.700000,11.500000,0.250000,23,28,2,7,False
Slope_Ratio,Ischaemia,30,30,0.888889,0.787853,0.977556,3.399860,0.833333,0.933333,0.925926,0.848485,0.883333,0.877193,0.766667,12.500000,0.178571,25,28,2,5,True
Length_Height_Ratio,Ischaemia,30,30,0.872222,0.773081,0.954412,2.338314,0.800000,0.866667,0.857143,0.812500,0.833333,0.827586,0.666667,6.000000,0.230769,24,26,4,6,False
Downslope_Length_Ratio,Ischaemia,30,30,0.866667,0.766632,0.947743,0.564273,0.766667,0.833333,0.821429,0.781250,0.800000,0.793103,0.600000,4.600000,0.280000,23,25,5,7,False
