time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.0,1.90650793526915,-0.0637046035139605,2.42956299505941,0.0267324975699264,11.43788671,29.97766218
0.0005,1.90650793526915,-0.0617314303327207,2.43038515021443,0.0458065035644752,11.18006442,30.03996119
0.001,1.90667236627255,-0.0594293949584369,2.42972742609039,0.0306788436595798,11.11174745,30.00673505
0.0015,1.90667236627255,-0.0640334657111287,2.42923413299749,0.0214707027659194,11.30422308,30.1491328
0.002,1.90650793526915,-0.0617314303327207,2.42989185712138,0.0362695006003964,11.19253969,30.31229689
0.0025,1.90650793526915,-0.0660066388959083,2.42923413299749,0.0244304623456803,11.37907472,30.18176562
0.003,1.90617907326236,-0.0643623279083811,2.43005628815238,0.0407091399194941,11.39333217,30.36806935
0.0035,1.90650793526915,-0.0632113102183663,2.42939856402845,0.0280479462677472,11.11709399,30.62023203
0.004,1.90634350426575,-0.0676509498855453,2.42890527093562,0.0244304623456803,11.19907436,30.80119584
0.0045000000000000005,1.90650793526915,-0.0674865187864866,2.42972742609039,0.0326520167001256,11.18778721,30.5970924
0.005,1.90617907326236,-0.0714328651697293,2.42906970196655,0.0213062716779656,11.34046078,30.47368101
0.0055,1.90617907326236,-0.0702818474733585,2.43005628815238,0.0389003979764105,11.20798527,30.49385403
0.006,1.90634350426575,-0.0683086742819914,2.42939856402845,0.0257459110457265,11.3024409,30.47486766
0.006500000000000001,1.90601464225897,-0.0722550206677721,2.42874083990471,0.0137424416105081,11.14798515,30.369256
0.007,1.90585021125559,-0.0709395718711577,2.42956299505941,0.0306788436595798,11.25551011,30.25949106
0.0075,1.90568578025222,-0.0763657981659346,2.42906970196655,0.0273902219189956,11.23234175,30.35086295
0.008,1.90585021125559,-0.0732416072661224,2.42989185712138,0.0369272249448733,11.43907484,30.33543653
0.0085,1.90601464225897,-0.0704462785727766,2.42956299505941,0.0268969286572235,11.35768853,30.453508
0.009000000000000001,1.90601464225897,-0.0727483139668519,2.42906970196655,0.0176887877379359,11.34521326,30.4683411
0.0095,1.90617907326236,-0.0691308297780244,2.42972742609039,0.03363860321933,11.21689617,30.24347131
0.01,1.90634350426575,-0.0715972962692955,2.42939856402845,0.0231150136443608,11.20798527,30.01266829
0.0105,1.90617907326236,-0.0701174163739616,2.4302207191834,0.0416957264328997,11.20857933,30.03106134
0.011,1.90617907326236,-0.0686375364803412,2.42956299505941,0.030514412572739,11.5269958,30.25593112
0.0115,1.90601464225897,-0.0711040029706604,2.42906970196655,0.0170310633841647,11.31432211,30.40722873
0.012,1.90650793526915,-0.0679798120837261,2.43005628815238,0.0352829140830891,11.35471823,30.31348354
0.0125,1.90617907326236,-0.0691308297780244,2.42956299505941,0.0249237556083468,11.12541084,30.42799507
0.013000000000000001,1.90617907326236,-0.0653489145006444,2.4302207191834,0.0443266237985216,11.43788671,30.26957757
0.0135,1.90667236627255,-0.0623891547261305,2.42956299505941,0.0318298612669113,11.42719362,30.3372165
0.014,1.90650793526915,-0.0627180169229616,2.42923413299749,0.0232794447320954,11.13848018,30.094547
0.0145,1.90667236627255,-0.0581139461749812,2.43005628815238,0.0384071047187923,11.39452029,30.43214834
0.015,1.90650793526915,-0.0599226882525794,2.42956299505941,0.0264036353952726,11.17768818,30.40841538
