Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Downslope_Length,15,Ischaemia,31,30,0.9720,,,1.4368,0.9000,0.9355,0.9310,0.9062,0.9180,0.9153,13.9500,0.1069,27,29,2,3
IR_Length_Height_Ratio,15,Ischaemia,31,30,0.9581,,,2.4445,0.9000,0.9355,0.9310,0.9062,0.9180,0.9153,13.9500,0.1069,27,29,2,3
IR_Downslope_Length_Ratio,15,Ischaemia,31,30,0.9247,,,0.5845,0.8667,0.9032,0.8966,0.8750,0.8852,0.8814,8.9556,0.1476,26,28,3,4
IR_SDPPG_e_a,15,Ischaemia,31,30,0.8871,,,0.6147,0.8000,0.8387,0.8276,0.8125,0.8197,0.8136,4.9600,0.2385,24,26,5,6
IR_SDPPG_c_a,15,Ischaemia,31,30,0.8452,,,0.5787,0.9333,0.6452,0.7179,0.9091,0.7869,0.8116,2.6303,0.1033,28,20,11,2
IR_Fall_Time,15,Ischaemia,31,30,0.7747,,,0.8375,0.6000,1.0000,1.0000,0.7209,0.8033,0.7500,,0.4000,18,31,0,12
IR_Upslope,15,Ischaemia,31,30,0.7656,,,11.8733,0.7333,0.8065,0.7857,0.7576,0.7705,0.7586,3.7889,0.3307,22,25,6,8
IR_Skewness,15,Ischaemia,31,30,0.6774,,,-0.1110,0.5333,0.9032,0.8421,0.6667,0.7213,0.6531,5.5111,0.5167,16,28,3,14
IR_Pulse_Width,15,Ischaemia,31,30,0.6640,,,0.9915,0.4667,0.9032,0.8235,0.6364,0.6885,0.5957,4.8222,0.5905,14,28,3,16
IR_Systolic_Width,15,Ischaemia,31,30,0.6634,,,0.5950,0.4333,0.9355,0.8667,0.6304,0.6885,0.5778,6.7167,0.6057,13,29,2,17
IR_Diastolic_Width,15,Ischaemia,31,30,0.6618,,,0.3970,0.4667,0.9032,0.8235,0.6364,0.6885,0.5957,4.8222,0.5905,14,28,3,16
IR_IPAR,15,Ischaemia,31,30,0.6258,,,0.6832,0.4333,0.8710,0.7647,0.6136,0.6557,0.5532,3.3583,0.6506,13,27,4,17
IR_Kurtosis,15,Ischaemia,31,30,0.5677,,,-1.2814,0.5333,0.7742,0.6957,0.6316,0.6557,0.6038,2.3619,0.6028,16,24,7,14
IR_Delta_T,15,Ischaemia,31,30,0.5462,,,0.0005,0.6000,0.5806,0.5806,0.6000,0.5902,0.5902,1.4308,0.6889,18,18,13,12
IR_Width_Ratio,15,Ischaemia,31,30,0.4844,,,1.5000,0.1667,0.9355,0.7143,0.5370,0.5574,0.2703,2.5833,0.8908,5,29,2,25
IR_Onset_End_Slope,15,Ischaemia,31,30,0.4742,,,0.0171,0.4000,0.6452,0.5217,0.5263,0.5246,0.4528,1.1273,0.9300,12,20,11,18
IR_Datum_Area_Ratio,15,Ischaemia,31,30,0.4624,,,4.8939,0.3000,0.8387,0.6429,0.5532,0.5738,0.4091,1.8600,0.8346,9,26,5,21
IR_PW50,15,Ischaemia,31,30,0.4070,,,0.5465,0.3000,0.7419,0.5294,0.5227,0.5246,0.3830,1.1625,0.9435,9,23,8,21
IR_Upslope_Length,15,Ischaemia,31,30,0.4011,,,1.1400,0.1000,1.0000,1.0000,0.5345,0.5574,0.1818,,0.9000,3,31,0,27
IR_SDPPG_b_a,15,Ischaemia,31,30,0.3548,,,-0.5936,0.0333,1.0000,1.0000,0.5167,0.5246,0.0645,,0.9667,1,31,0,29
