Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_SDPPG_e_a,15,Congestion,31,31,0.7659,,,0.6735,0.5806,0.9355,0.9000,0.6905,0.7581,0.7059,9.0000,0.4483,18,29,2,13
IR_Downslope_Length,15,Congestion,31,31,0.7014,,,1.3635,0.7742,0.6129,0.6667,0.7308,0.6935,0.7164,2.0000,0.3684,24,19,12,7
IR_Downslope_Length_Ratio,15,Congestion,31,31,0.6826,,,0.5914,0.3548,0.9677,0.9167,0.6000,0.6613,0.5116,11.0000,0.6667,11,30,1,20
IR_Rise_Time,15,Congestion,31,31,0.6681,,,0.1720,0.5806,0.8065,0.7500,0.6579,0.6935,0.6545,3.0000,0.5200,18,25,6,13
IR_Rise_Decay_Time_Ratio,15,Congestion,31,31,0.6660,,,0.2089,0.7097,0.7097,0.7097,0.7097,0.7097,0.7097,2.4444,0.4091,22,22,9,9
IR_Length_Height_Ratio,15,Congestion,31,31,0.6618,,,2.4429,0.4194,0.9355,0.8667,0.6170,0.6774,0.5652,6.5000,0.6207,13,29,2,18
IR_SDPPG_c_a,15,Congestion,31,31,0.6368,,,0.6196,0.5484,0.7742,0.7083,0.6316,0.6613,0.6182,2.4286,0.5833,17,24,7,14
IR_AUC_Ratio,15,Congestion,31,31,0.5640,,,0.1890,0.6452,0.6452,0.6452,0.6452,0.6452,0.6452,1.8182,0.5500,20,20,11,11
IR_Kurtosis,15,Congestion,31,31,0.5525,,,-1.2404,0.4194,0.8710,0.7647,0.6000,0.6452,0.5417,3.2500,0.6667,13,27,4,18
IR_SDPPG_b_a,15,Congestion,31,31,0.5442,,,-0.8258,0.3548,0.8710,0.7333,0.5745,0.6129,0.4783,2.7500,0.7407,11,27,4,20
IR_Delta_T,15,Congestion,31,31,0.5395,,,0.0015,0.3548,0.7419,0.5789,0.5349,0.5484,0.4400,1.3750,0.8696,11,23,8,20
IR_Upslope_Length,15,Congestion,31,31,0.5276,,,1.0311,0.3548,0.8387,0.6875,0.5652,0.5968,0.4681,2.2000,0.7692,11,26,5,20
IR_Skewness,15,Congestion,31,31,0.5099,,,-0.1069,0.2903,0.9032,0.7500,0.5600,0.5968,0.4186,3.0000,0.7857,9,28,3,22
IR_RWI,15,Congestion,31,31,0.4995,,,0.5867,0.3226,0.8387,0.6667,0.5532,0.5806,0.4348,2.0000,0.8077,10,26,5,21
IR_PW50,15,Congestion,31,31,0.4990,,,0.5475,0.4194,0.7419,0.6190,0.5610,0.5806,0.5000,1.6250,0.7826,13,23,8,18
IR_Systolic_Width,15,Congestion,31,31,0.4906,,,0.5950,0.2903,0.9355,0.8182,0.5686,0.6129,0.4286,4.5000,0.7586,9,29,2,22
IR_Pulse_Width,15,Congestion,31,31,0.4901,,,0.9920,0.2903,0.9355,0.8182,0.5686,0.6129,0.4286,4.5000,0.7586,9,29,2,22
IR_DNP,15,Congestion,31,31,0.4891,,,0.5867,0.3226,0.8387,0.6667,0.5532,0.5806,0.4348,2.0000,0.8077,10,26,5,21
IR_Diastolic_Width,15,Congestion,31,31,0.4870,,,0.3970,0.2903,0.9032,0.7500,0.5600,0.5968,0.4186,3.0000,0.7857,9,28,3,22
IR_Onset_End_Slope,15,Congestion,31,31,0.4683,,,0.0501,0.2903,0.8710,0.6923,0.5510,0.5806,0.4091,2.2500,0.8148,9,27,4,22
