Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Max_Start_Datum_Diff,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_AUC,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_D_AUC,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Start_Datum_Area,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_End_Datum_Area,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Rise_Decay_Time_Ratio,9,Congestion,32,32,0.6558,,,0.2084,0.6250,0.7188,0.6897,0.6571,0.6719,0.6557,2.2222,0.5217,20,23,9,12
IR_AUC_Ratio,9,Congestion,32,32,0.6162,,,0.1918,0.5938,0.6562,0.6333,0.6176,0.6250,0.6129,1.7273,0.6190,19,21,11,13
IR_DNP,9,Congestion,32,32,0.6104,,,0.5704,0.3125,0.9375,0.8333,0.5769,0.6250,0.4545,5.0000,0.7333,10,30,2,22
IR_RWI,9,Congestion,32,32,0.6094,,,0.5704,0.3438,0.9062,0.7857,0.5800,0.6250,0.4783,3.6667,0.7241,11,29,3,21
IR_Datum_Area_Ratio,9,Congestion,32,32,0.5947,,,5.7493,0.3125,0.8750,0.7143,0.5600,0.5938,0.4348,2.5000,0.7857,10,28,4,22
IR_Slope_Length_Ratio,9,Congestion,32,32,0.5859,,,0.7720,0.8750,0.3125,0.5600,0.7143,0.5938,0.6829,1.2727,0.4000,28,10,22,4
IR_Upslope_Length_Ratio,9,Congestion,32,32,0.5859,,,0.4357,0.8750,0.3125,0.5600,0.7143,0.5938,0.6829,1.2727,0.4000,28,10,22,4
IR_Rise_Time,9,Congestion,32,32,0.5845,,,0.1605,0.6562,0.5938,0.6176,0.6333,0.6250,0.6364,1.6154,0.5789,21,19,13,11
IR_SDPPG_e_a,9,Congestion,32,32,0.5801,,,0.2852,0.9375,0.2500,0.5556,0.8000,0.5938,0.6977,1.2500,0.2500,30,8,24,2
IR_SDPPG_c_a,9,Congestion,32,32,0.5752,,,0.4448,0.2812,0.8750,0.6923,0.5490,0.5781,0.4000,2.2500,0.8214,9,28,4,23
IR_Variance,9,Congestion,32,32,0.5732,,,0.1099,0.6562,0.5625,0.6000,0.6207,0.6094,0.6269,1.5000,0.6111,21,18,14,11
IR_SDPPG_b_a,9,Congestion,32,32,0.5469,,,-1.0750,0.7812,0.4375,0.5814,0.6667,0.6094,0.6667,1.3889,0.5000,25,14,18,7
IR_Upslope_Length,9,Congestion,32,32,0.5459,,,1.0295,0.1562,1.0000,1.0000,0.5424,0.5781,0.2703,,0.8438,5,32,0,27
IR_Onset_End_Slope,9,Congestion,32,32,0.5156,,,0.0462,0.1562,0.9375,0.7143,0.5263,0.5469,0.2564,2.5000,0.9000,5,30,2,27
IR_Delta_T,9,Congestion,32,32,0.5122,,,0.1745,0.0312,1.0000,1.0000,0.5079,0.5156,0.0606,,0.9688,1,32,0,31
IR_PW50,9,Congestion,32,32,0.4995,,,0.5190,0.1875,0.9375,0.7500,0.5357,0.5625,0.3000,3.0000,0.8667,6,30,2,26
IR_Kurtosis,9,Congestion,32,32,0.4902,,,-1.4690,0.9062,0.2812,0.5577,0.7500,0.5938,0.6905,1.2609,0.3333,29,9,23,3
IR_Length_Height_Ratio,9,Congestion,32,32,0.4863,,,2.3069,0.5938,0.4688,0.5278,0.5357,0.5312,0.5588,1.1176,0.8667,19,15,17,13
IR_Width_Ratio,9,Congestion,32,32,0.4795,,,1.4993,0.3125,0.7812,0.5882,0.5319,0.5469,0.4082,1.4286,0.8800,10,25,7,22
IR_Downslope_Length,9,Congestion,32,32,0.4756,,,1.3073,0.2812,0.7812,0.5625,0.5208,0.5312,0.3750,1.2857,0.9200,9,25,7,23
IR_IPAR,9,Congestion,32,32,0.4189,,,0.6735,0.1875,0.9062,0.6667,0.5273,0.5469,0.2927,2.0000,0.8966,6,29,3,26
IR_Downslope_Length_Ratio,9,Congestion,32,32,0.4141,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,32,0,32
IR_Downslope,9,Congestion,32,32,0.4121,,,-2.4922,0.8125,0.3125,0.5417,0.6250,0.5625,0.6500,1.1818,0.6000,26,10,22,6
IR_Skewness,9,Congestion,32,32,0.3965,,,-0.3728,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Slope_Ratio,9,Congestion,32,32,0.3799,,,4.4452,0.8125,0.2500,0.5200,0.5714,0.5312,0.6341,1.0833,0.7500,26,8,24,6
IR_SDPPG_d_a,9,Congestion,32,32,0.3604,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,32,0,32
IR_Upslope,9,Congestion,32,32,0.3574,,,12.3935,0.0312,1.0000,1.0000,0.5079,0.5156,0.0606,,0.9688,1,32,0,31
IR_S_AUC,9,Congestion,32,32,0.2637,,,0.6788,0.0312,1.0000,1.0000,0.5079,0.5156,0.0606,,0.9688,1,32,0,31
